【酷睿i5+指纹解锁】2020款全新15.6英寸i5笔记本电脑游戏本超薄手提电脑学生办公用商务轻薄便携粉色女生款,2068.00,1061人付款,宝扬旗舰店,广东 深圳
【酷睿i7】2020年新款笔记本电脑轻薄便携学生女生款15.6英寸金属高配超极本超薄商务办公用大学生游戏本手提,1388.00,1.0万+人付款,品纯旗舰店,广东 广州
Lenovo/联想吃鸡游戏本i7笔记本电脑轻薄便携商务办公学生独显4G,1380.00,1740人付款,小慧hero,广东 广州
【酷睿i7高配】笔记本电脑2020年新款戴睿V15Air金属轻薄便携女生款15.6英寸商务超薄学生设计手提办公游戏本,1968.00,9000+人付款,戴睿博雅寰球专卖店,广东 深圳
【新品上市】联想拯救者Y7000 2020十代酷睿i5/i7 15.6英寸游戏本笔记本 16G/512G/GTX显卡多配置,6499.00,484人付款,联想官方旗舰店,上海
【新品5399起】惠普暗影精灵5暗夜精灵酷睿i5光影精灵1660ti手提电脑电竞2020款I5pro游戏本,5499.00,229人付款,hp惠普尔卡圣专卖店,上海
Thinkpad联想笔记本电脑轻薄便携学生游戏本手提办公商务华为小米,1680.00,811人付款,光头强科技有限公司,江苏 南京
【爆款直降】惠普暗影光影精灵1660Ti暗影精灵5代Pro新品 i5/i7处理器暗夜精灵5代2020学生游戏,5899.00,167人付款,惠普聚智汇丰专卖店,北京
【全金属酷睿I7+16G高配】HIPAA海鲅笔记本电脑超薄窄边框轻薄便携学生女生款办公用游戏本手提商务大学生用,1888.00,8500+人付款,hipaa海鲅旗舰店,广东 深圳
Dell/戴尔 灵越笔记本电脑轻薄便携学生办公用商务游戏本联想华硕,1380.00,1798人付款,翁亿兰168,北京
2020新品笔记本电脑Daysky V9 Max 轻薄便携学生15.6英寸手提商务办公游戏本指纹解锁超轻薄独显秒I5/I7吃鸡,2368.00,4151人付款,daysky旗舰店,广东 深圳
笔记本电脑DERE戴睿R9 pro轻薄便携学生15.6英寸全新四核独显游戏本超薄超级上网手提办公商务超极本2020款,1398.00,1.0万+人付款,dere戴睿旗舰店,广东 深圳
联想笔记本电脑轻薄便携学生商务办公i5i7手提游戏本吃鸡分期免息,1780.00,2307人付款,阿乐数码科技,广东 广州
Asus/华硕VivoBook15s十代酷睿i5/i7轻薄便携学生商务办公用女生款超薄手提游戏官方旗舰店官网,3999.00,339人付款,华硕金新荣专卖店,北京
2020年新品海尔笔记本电脑轻薄本简爱S14PRO超极本商务商用办公学生男生女生四核14英寸窄边框haier全新款正,2099.00,198人付款,海尔玖嘉久专卖店,广东 广州
Apple/苹果MacBook Pro笔记本电脑超薄手提轻薄便携学生游戏本air,1188.00,1276人付款,贞子电脑商城,广东 深圳
Lenovo/联想 小新 15 新品笔记本电脑轻薄便携学生游戏本办公商务,1680.00,487人付款,网红公主号,上海
Asus/华硕笔记本电脑游戏本轻薄便携学生办公用商务手提惠普联想,1380.00,1992人付款,maxing135132,浙江 杭州
华硕飞行堡垒手提笔记本电脑办公用商务游戏本I7超薄轻薄便携学生,1799.00,3591人付款,cocosky118,广东 广州
HIPAA海鲅笔记本电脑轻薄便携学生超薄女生款办公用游戏本手提商务大学生送华为小米联想华硕惠普苹果鼠标,999.00,303人付款,海鲅炫亮专卖店,广东 深圳
【限时至高降400】华为旗下荣耀笔记本14 14英寸 锐龙R5-3500U 笔记本轻薄便携商务本学生 MagicBook 14,3599.00,4333人付款,荣耀官方旗舰店,广东 深圳
【酷睿i7八代处理器】2020全新笔记本电脑2G独立显卡游戏办公用商务学习轻薄便携超薄手提华为小米联想摆渡者,1358.00,667人付款,酷达数码专营店,广东 深圳
Lenovo/联想 拯救者 R7000 2020款 15.6英寸游戏笔记本电脑锐龙八核R7轻薄独显4G手提游戏本锐龙R5六核Y7000,4799.00,1767人付款,联想艾克兰斯专卖店,北京
Lenovo/联想 G50-80 IFI笔记本电脑轻薄便携学生游戏本商务办公用,2099.00,3993人付款,霞咪520168,广东 广州
【全款预定6.11开始发货】联想小新Pro13 2020 13.3英寸超轻薄笔记本电脑R5 4600U/R7 4800U 16G/512G网课,9999.00,2866人付款,联想官方旗舰店,上海
【限时立省600】HP/惠普星14S青春版轻薄工作笔记本电脑办公用商务手提便携14寸学生用女生官方旗舰店官网,3499.00,2186人付款,惠普中国官方旗舰店,广东 广州
Lenovo/联想 G50-80 IFI 超薄i7独显四核办公游戏学生笔记本电脑,1199.00,650人付款,黄景升1,广东 广州
笔记本电脑学生轻薄便携办公用商务手提14.1英寸全新超薄女生款2019年新款送适用于华为联想小米雷神华硕鼠标,1948.00,1131人付款,天泽数码专营店,广东 深圳
笔记本电脑游戏本2020新款轻薄便携学生酷睿i7手提大屏15.6英寸女生款超薄大学生简约i5超极本学习办公用商务,2098.00,1019人付款,攻摄旗舰店,广东 深圳
【6月3日3999起】Asus/华硕VivoBook15s V5000十代酷睿i5轻薄商务办公学生15.6英寸官方旗舰店新品,3999.00,1898人付款,asus华硕官方旗舰店,上海
领睿 终结者 S1-Pro 游戏本i7独显GTX1060 6G 15.6英寸商务办公学生吃鸡电竞本轻薄便携高配,4550.00,404人付款,领睿旗舰店,广东 深圳
【现货即发】神舟战神TX9/TX7/TX6 十代酷睿i5 RTX2070/GTX1650独显16.1英寸学生便携吃鸡游戏本,4799.00,1237人付款,神舟电脑旗舰店,广东 深圳
Acer/宏碁宏基2020新款暗影骑士擎十代标压1660Ti 发烧级6G独显144hz电竞屏高色域吃鸡作图游戏本,6599.00,456人付款,苏宁易购官方旗舰店,江苏 南京
【酷睿i7高配】2020年全新笔记本电脑轻薄便携办公用商务本15.6寸窄边框金属游戏本学生上网手提超级本女,1398.00,686人付款,安德数码专营店,广东 深圳
【现货即发】神舟战神G8/Z8/Z9/Z10 十代酷睿i7 RTX20系电竞级独显游戏本专业电竞学生便携游戏本,6699.00,1786人付款,神舟电脑旗舰店,广东 深圳
【开门红限时抢购】华为/HUAWEI MateBook D 15 锐龙R5 3500U+8G/16G+256G/512G SSD+1T HDD 集显,4099.00,1738人付款,华为官方旗舰店,广东 深圳
联想笔记本电脑轻薄便携学生i5四核独显手提超薄商务办公i7游戏本,2080.00,859人付款,好运1来888,广东 广州
【劲省500】Asus/华硕飞行堡垒7/8 九代酷睿i7 电竞游戏手提笔记本电脑办公用轻薄便携学生商务1660ti,5299.00,459人付款,华硕百信融达专卖店,北京
苹果笔记本电脑超薄男生款macbook轻薄便携air办公用学生pro商务,2358.00,1457人付款,可妮服装,广东 深圳
【开门红限时抢购】华为/HUAWEI MateBook D 14 Windows版 锐龙R5 3500U+8G/16G+512G SSD 集显,4099.00,3012人付款,华为官方旗舰店,广东 深圳
Lenovo/联想 Y50-70笔记本电脑轻薄便携学生吃鸡i7游戏本15.6英寸,2099.00,1084人付款,广州凌心信息科技有限公司,
【超极本】全新酷睿i7超轻薄笔记本电脑便携学生上网本手提14英寸商务办公学习全面屏15.6笔计本女生SU14,1299.00,246人付款,可想旗舰店,广东 深圳
【酷睿i5/i7】笔记本电脑AIWO轻薄便携游戏本15.6英寸全新四核商务办公超薄窄边框女大学生手提,1686.00,190人付款,艾我旗舰店,广东 深圳
联想吃鸡游戏本笔记本电脑轻薄便携商务办公学生分期14/15.6英寸,1780.00,3178人付款,爱联电脑科技,广东 广州
【新品发售】Asus/华硕飞行堡垒8英特尔酷睿i7/i5笔记本电脑学生游戏本官方旗舰店15.6英寸手提轻薄便携,9599.00,1217人付款,asus华硕官方旗舰店,上海
【新品发售】Asus/华硕飞行堡垒8英特尔酷睿i7/i5笔记本电脑学生游戏本官方旗舰店15.6英寸手提轻薄便携,9599.00,1217人付款,asus华硕官方旗舰店,上海
Lenovo/联想 V110 15笔记本电脑轻薄便携学生办公i5i7手提游戏本,1780.00,683人付款,abc344373194,广东 广州
【官方旗舰店】Dell/戴尔新G3 i5独显GTX1650轻薄学生游戏本笔记本电脑灵越游匣i7手提1660Ti电竞屏144Hz,4999.00,703人付款,戴尔官方旗舰店,北京
Lenovo/联想小新Air14 2020款锐龙R5六核游戏本笔记本电脑指纹解锁学生办公独显手提轻薄便携R7八核14英寸,3399.00,286人付款,联想艾克兰斯专卖店,北京
新品 联想拯救者R7000 2020款 锐龙八核笔记本电脑R5轻薄便携学生独显r7000游戏本15.6英寸非官方旗舰店y7000,4799.00,455人付款,联想天晴东方专卖店,北京
联想笔记本电脑轻薄便携学生游戏本I7手提商务办公用14/15.6英寸,1880.00,2309人付款,816tian楠楠,广东 广州
【爆款】联想小新air14 2020锐龙版六核R5笔记本电脑游戏轻薄超便携学生女4600U商务办公官方旗舰店正品2019,3499.00,306人付款,联想爱特家专卖店,广东 广州
